FISCAL_YEAR,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,PERCENTILE_50TH,PERCENTILE_90TH
2015/2016,Northern,All Facilities,Foot/Ankle Surgery,18,61,6.1,24.1
2015/2016,Northern,All Facilities,Foreign Body Removal Surgery,,14,4.6,6.2
2015/2016,Northern,All Facilities,Fracture Repair,,64,4,10.1
2015/2016,Northern,All Facilities,Free Flap Graft,,5,3.3,21.8
2015/2016,Northern,All Facilities,Gastrostomy/Jejunostomy,,,0,0.1
2015/2016,Northern,All Facilities,Hand/Wrist Surgery,38,146,4.6,14.8
2015/2016,Northern,All Facilities,Hernia Repair - Abdominal,158,774,6.1,26
2015/2016,Northern,All Facilities,Hip Replacement,197,257,16.9,38.8
2015/2016,Northern,All Facilities,Kidney/Bladder Stone Removal,16,58,4.4,20.4
2015/2016,Northern,All Facilities,Knee - ACL Repair,22,117,6.3,20.2
2015/2016,Northern,All Facilities,Knee Arthroscopy,123,647,5,17.3
2015/2016,Northern,All Facilities,Knee Replacement,432,495,21.4,49.7
2015/2016,Northern,All Facilities,Laparoscopy,5,22,5.9,17.9
2015/2016,Northern,All Facilities,Laryngoscopy,,21,0,3.1
2015/2016,Northern,All Facilities,Lens & Vitreous (non-cataract) Surgery,5,36,3.2,9.8
2015/2016,Northern,All Facilities,Ligament Surgery,,10,3.8,20.2
2015/2016,Northern,All Facilities,Lipectomy,,72,5.3,21.1
2015/2016,Northern,All Facilities,Male Reproductive Surgery,44,167,5.1,22
2015/2016,Northern,All Facilities,Mastectomy,14,121,2,6.9
2015/2016,Northern,All Facilities,Mastoidectomy,,,1,9.6
2015/2016,Northern,All Facilities,Myringotomy,,24,4.9,9.1
2015/2016,Northern,All Facilities,Nasal Surgery,98,177,1,25
2015/2016,Northern,All Facilities,Nerve Surgery,8,61,6.1,17
2015/2016,Northern,All Facilities,Other Eye Surgery,11,46,4.1,31.6
2015/2016,Northern,All Facilities,Other Joint Reconstruction,36,77,10.9,28.3
2015/2016,Northern,All Facilities,Other Orthopaedic Surgery,157,619,4.9,17.7
2015/2016,Northern,All Facilities,Other Urology Surgery,12,74,5.1,19.3
2015/2016,Northern,All Facilities,Parotidectomy,7,6,10.7,15.1
2015/2016,Northern,All Facilities,Prostate Surgery,38,134,5.1,31.7
2015/2016,Northern,All Facilities,Rectal Surgery,30,53,5.4,16.7
2015/2016,Northern,All Facilities,Shoulder Surgery,145,399,6.9,27
2015/2016,Northern,All Facilities,Skin Surgery,,10,2,6.6
2015/2016,Northern,All Facilities,Skin Tumour Removal,41,204,3,11.8
2015/2016,Northern,All Facilities,Sphincterotomy,,,0,2.2
2015/2016,Northern,All Facilities,Tendon Surgery,13,58,3.9,23.1
2015/2016,Northern,All Facilities,Thyroidectomy,19,60,4.3,18.5
2015/2016,Northern,All Facilities,Tonsillectomy/Adenoidectomy,68,136,7.4,21.1
2015/2016,Northern,All Facilities,Tympanoplasty,,13,0,17.3
2015/2016,Northern,All Facilities,Uterine Surgery,86,466,4.9,16.4
2015/2016,Northern,All Facilities,Vaginal Repair,8,48,11.4,32.1
2015/2016,Northern,All Facilities,Varicose Veins Ligation/Stripping,23,66,7,44.6
2015/2016,Northern,All Facilities,Vascular Bypass Graft - Non Cardiac,12,20,4,26.6
2015/2016,Northern,All Facilities,Vascular Surgery - Other,22,92,2,27.5
2015/2016,Northern,All Facilities,Wound/Laceration Care,10,80,1.1,11.2
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,All Other Procedures,,56,2.1,11.1
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,All Procedures,35,326,2.3,13.9
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,Bladder Surgery,,,9.1,15
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,Breast Biopsy,,,4,4
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,Cholecystectomy,,8,3.1,12.1
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,Excision Lesion/Tumour,,,5.4,5.7
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,Gastrostomy/Jejunostomy,,,0,0
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,Hand/Wrist Surgery,,18,2.2,7.6
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,Hernia Repair - Abdominal,,51,4,18
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,Knee - ACL Repair,,10,2.1,7.7
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,Knee Arthroscopy,,47,2.1,8.4
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,Male Reproductive Surgery,7,12,3.4,13
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,Other Orthopaedic Surgery,,8,0.6,10.7
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,Rectal Surgery,,,11.3,16.2
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,Tonsillectomy/Adenoidectomy,,,12.6,16.9
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,Uterine Surgery,,20,7.8,19.9
2015/2016,Northern,BULKLEY VALLEY DISTRICT HOSPITAL,Vaginal Repair,,5,9.3,23.1
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,All Other Procedures,10,56,2.3,5.6
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,All Procedures,261,888,5.9,39.8
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Biopsy in OR,,13,2.9,3.8
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Bladder Surgery,,14,4.7,5.7
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Bowel Resection,,18,3,8.7
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Breast Biopsy,,13,2.7,4.1
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Cholecystectomy,20,76,23.7,46.7
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Cyst/Ganglion Removal,5,,8.4,18.9
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Dental Surgery,,,17.9,26.9
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Excision Lesion/Tumour,,5,3.6,17.1
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Foreign Body Removal Surgery,,,3.8,6.4
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Fracture Repair,,16,3,18.4
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Hernia Repair - Abdominal,24,138,19.2,45.7
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Hip Replacement,40,27,35.7,43.1
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Knee - ACL Repair,,16,5.4,12.2
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Knee Arthroscopy,6,63,3.9,10.5
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Knee Replacement,70,48,41.4,50.3
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Male Reproductive Surgery,5,23,21.9,40.7
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Nerve Surgery,,19,3.9,17.2
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Other Joint Reconstruction,,7,6.3,15.9
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Other Orthopaedic Surgery,8,75,4.7,23.8
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Prostate Surgery,6,14,4.6,13.9
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Shoulder Surgery,20,128,4.7,18.5
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Skin Tumour Removal,,14,3.2,26.9
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Thyroidectomy,,,3,6.5
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Tonsillectomy/Adenoidectomy,,16,13.6,33.1
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Varicose Veins Ligation/Stripping,12,17,38.7,47.6
2015/2016,Northern,DAWSON CREEK AND DISTRICT HOSPITAL,Wound/Laceration Care,,9,10.9,36.9
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,All Other Procedures,,116,2.6,9.2
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,All Procedures,200,1068,6.9,22.4
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Biopsy in OR,,9,1.4,8.1
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Bowel Resection,,10,1.8,4.7
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Cataract Surgery,108,269,17,32.7
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Cholecystectomy,7,48,5.7,13.3
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Cyst/Ganglion Removal,,29,5.1,11.5
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,D&C and Related Surgery,,30,6.6,14
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Excision Lesion/Tumour,,7,2,11
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Fallopian Tube/Ovarian Surgery,,22,3.3,9.4
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Hand/Wrist Surgery,7,23,5.1,15.6
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Hernia Repair - Abdominal,6,68,7.2,13.8
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Knee Arthroscopy,7,33,7.9,23.3
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Laparoscopy,,,10.9,19.4
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Male Reproductive Surgery,,17,4.4,11.7
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Nasal Surgery,,6,18.1,37.3
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Other Eye Surgery,6,25,7.4,32.7
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Other Orthopaedic Surgery,12,92,5.5,12.3
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Rectal Surgery,5,10,7,11
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Skin Tumour Removal,,,5.1,6.2
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Thyroidectomy,,,10.1,11.4
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Tonsillectomy/Adenoidectomy,,8,13.5,27.9
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Uterine Surgery,9,103,6.7,15.1
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Varicose Veins Ligation/Stripping,,12,7.5,14.2
2015/2016,Northern,FORT ST JOHN GENERAL HOSPITAL,Wound/Laceration Care,,,0,0
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Abdominoplasty,,,4.5,6.7
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,All Other Procedures,33,128,2.9,5.9
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,All Procedures,159,828,3.1,10.9
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Bowel Resection,,9,3,10.4
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Breast Reconstruction,5,22,2.7,7.6
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Cholecystectomy,7,35,3.7,9
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Cyst/Ganglion Removal,7,53,3.1,18.6
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Dental Surgery,,25,1.4,3.1
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Examination Under Anaesthetic,,,5.4,11.2
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Excision Lesion/Tumour,8,40,2.9,6.1
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Fistula Repair - Non Vascular,,,4,4.3
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Foot/Ankle Surgery,,5,2.4,6.3
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Foreign Body Removal Surgery,,,5.3,5.3
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Hand/Wrist Surgery,6,22,3.9,7.9
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Hernia Repair - Abdominal,10,79,3.4,9.4
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Knee - ACL Repair,,22,8.3,18.8
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Knee Arthroscopy,15,60,6.9,14.5
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Male Reproductive Surgery,,,4.5,32.3
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Mastectomy,,13,2,2.9
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Myringotomy,,20,5.7,9.6
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Nasal Surgery,,11,8,19.6
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Other Joint Reconstruction,,5,7.9,23.2
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Other Orthopaedic Surgery,9,31,3.1,15
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Rectal Surgery,,9,5,6.5
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Skin Surgery,,,4.4,10.1
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Skin Tumour Removal,13,96,2.6,8.1
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Tonsillectomy/Adenoidectomy,17,26,9.8,23.4
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Tympanoplasty,,,21.6,21.6
2015/2016,Northern,G.R. BAKER MEMORIAL HOSPITAL,Varicose Veins Ligation/Stripping,,6,4,7.7
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,All Other Procedures,,44,4.6,11.5
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,All Procedures,106,559,5,16.1
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,Cholecystectomy,,13,4.4,11.3
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,Cyst/Ganglion Removal,5,30,3.5,6.8
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,Fracture Repair,,25,5.4,10.5
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,Hand/Wrist Surgery,8,11,5,17.6
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,Hernia Repair - Abdominal,,27,3.9,13.2
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,Hip Replacement,10,21,12.9,20.6
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,Knee - ACL Repair,6,16,3.9,11.4
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,Knee Arthroscopy,11,134,4.7,13.9
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,Knee Replacement,30,62,13.7,29.3
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,Nasal Surgery,,7,7.7,32.3
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,Other Orthopaedic Surgery,22,86,4.9,10
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,Shoulder Surgery,,24,4.1,8.4
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,Skin Tumour Removal,,5,5,9.4
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,Varicose Veins Ligation/Stripping,,,12.4,20.3
2015/2016,Northern,KITIMAT GENERAL HOSPITAL,Wound/Laceration Care,,,0.9,1.2
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,All Other Procedures,45,111,1.1,2.9
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,All Procedures,124,1422,1,4.9
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,Biopsy in OR,,15,0,2.4
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,Bladder Surgery,,14,1,3.2
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,Bowel Resection,,20,1,2.8
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,Breast Biopsy,,8,0.6,2.3
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,Cataract Surgery,22,600,1.1,5.2
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,D&C and Related Surgery,,33,1.1,2.6
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,Examination Under Anaesthetic,,6,0.6,3.6
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,Excision Lesion/Tumour,,21,1.1,2.7
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,Fallopian Tube/Ovarian Surgery,,23,1.1,1.4
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,Hernia Repair - Abdominal,5,86,1,7.1
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,Laryngoscopy,,12,0,0
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,Mastoidectomy,,,0,0
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,Nasal Surgery,23,73,0,0
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,Skin Tumour Removal,,11,0.3,1.4
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,Tonsillectomy/Adenoidectomy,6,19,0,0
2015/2016,Northern,MILLS MEMORIAL HOSPITAL,Uterine Surgery,,65,1.1,1.9
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,All Other Procedures,9,122,2,7.8
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,All Procedures,50,716,1.7,7.9
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Cholecystectomy,,20,0.9,3.5
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,D&C and Related Surgery,,7,0.1,8.4
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Dental Surgery,,16,0.2,1.1
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Examination Under Anaesthetic,,,0.1,0.1
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Foot/Ankle Surgery,,25,6.1,8.7
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Hernia Repair - Abdominal,,57,1.1,5.5
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Hip Replacement,,15,6,8.6
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Knee Arthroscopy,,74,1.5,4.9
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Knee Replacement,,46,7.1,11.9
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Lipectomy,,8,2.7,16.3
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Male Reproductive Surgery,,12,1.5,4.4
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Nasal Surgery,,24,1,1.4
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Other Joint Reconstruction,,,8.2,10.6
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Other Orthopaedic Surgery,,62,1.1,4.9
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Skin Tumour Removal,,12,0.8,4.9
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Tendon Surgery,,17,3.1,9.3
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Uterine Surgery,9,48,2.4,8.1
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Vaginal Repair,,,13,13
2015/2016,Northern,PRINCE RUPERT REGIONAL HOSPITAL,Vascular Surgery - Other,,12,0.4,0.7
2015/2016,Northern,ST. JOHN HOSPITAL,All Other Procedures,,,6.3,11.3
2015/2016,Northern,ST. JOHN HOSPITAL,All Procedures,118,329,8.3,18.1
2015/2016,Northern,ST. JOHN HOSPITAL,Breast Reduction,,,4.1,5.7
2015/2016,Northern,ST. JOHN HOSPITAL,Cyst/Ganglion Removal,,13,9.4,23.3
2015/2016,Northern,ST. JOHN HOSPITAL,Excision Gynecomastia,,,10.9,10.9
2015/2016,Northern,ST. JOHN HOSPITAL,Fallopian Tube/Ovarian Surgery,,,9.4,16
2015/2016,Northern,ST. JOHN HOSPITAL,Foot/Ankle Surgery,6,,7.4,12.9
2015/2016,Northern,ST. JOHN HOSPITAL,Hand/Wrist Surgery,9,17,6.1,14.6
2015/2016,Northern,ST. JOHN HOSPITAL,Hernia Repair - Abdominal,9,30,10.3,19
2015/2016,Northern,ST. JOHN HOSPITAL,Knee - ACL Repair,,12,6.9,12.5
2015/2016,Northern,ST. JOHN HOSPITAL,Knee Arthroscopy,23,75,9,16.6
2015/2016,Northern,ST. JOHN HOSPITAL,Male Reproductive Surgery,6,36,9.4,19.6
2015/2016,Northern,ST. JOHN HOSPITAL,Nasal Surgery,8,,12.1,12.1
2015/2016,Northern,ST. JOHN HOSPITAL,Other Joint Reconstruction,,,18.6,18.6
2015/2016,Northern,ST. JOHN HOSPITAL,Other Orthopaedic Surgery,9,45,11,19.3
2015/2016,Northern,ST. JOHN HOSPITAL,Rectal Surgery,,9,5.7,18.4
2015/2016,Northern,ST. JOHN HOSPITAL,Skin Tumour Removal,,9,7.1,18.2
2015/2016,Northern,ST. JOHN HOSPITAL,Tendon Surgery,,,5.1,7.2
2015/2016,Northern,ST. JOHN HOSPITAL,Tonsillectomy/Adenoidectomy,19,35,8.4,19.3
2015/2016,Northern,ST. JOHN HOSPITAL,Varicose Veins Ligation/Stripping,,5,12,16.7
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,All Other Procedures,165,536,5.9,23.8
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,All Procedures,1912,5355,7.3,32.8
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Aortic Aneurysm Repair,,18,7.8,17.5
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Biopsy in OR,10,85,2.3,7.1
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Bladder Surgery,41,185,5.3,14.3
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Bowel Resection,17,82,3,7.4
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Breast Biopsy,5,49,3,4.9
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Breast Reconstruction,5,7,4.9,21.4
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Breast Reduction,17,22,13.4,23.8
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,CSF Drainage,,,18.9,20.3
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Cataract Surgery,207,1167,9,59
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Cholecystectomy,64,170,6.4,18
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Colostomy/Ileostomy,5,21,6.4,14.1
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Cone Biopsy,,8,4,8.6
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Cyst/Ganglion Removal,14,20,4.1,17.1
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,D&C and Related Surgery,24,143,6.7,20.9
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Dental Surgery,36,135,6.3,15.7
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Endarterectomy,,32,4.9,20.4
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Examination Under Anaesthetic,7,20,4.6,17.3
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Excision Gynecomastia,,7,6,9.2
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Excision Lesion/Tumour,8,34,5.2,15.1
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Fallopian Tube/Ovarian Surgery,14,71,5,19.7
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Fistula Repair - Non Vascular,,19,7.6,20.4
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Foot/Ankle Surgery,10,21,11.7,33.1
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Fracture Repair,,12,5.1,9.8
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Free Flap Graft,,,6.3,23.9
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Hand/Wrist Surgery,,19,8.7,26.2
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Hernia Repair - Abdominal,96,234,8.3,25.3
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Hip Replacement,144,194,17.1,36.2
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Kidney/Bladder Stone Removal,16,51,4.7,21
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Knee - ACL Repair,11,38,9.8,34.5
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Knee Arthroscopy,57,161,8,23.3
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Knee Replacement,328,339,23.7,53.5
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Laparoscopy,,12,8,17.9
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Laryngoscopy,,6,2.1,11
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Lens & Vitreous (non-cataract) Surgery,5,36,3.2,9.8
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Ligament Surgery,,9,4.1,20.5
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Lipectomy,,26,14.9,32.1
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Male Reproductive Surgery,18,39,6.6,28.5
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Mastectomy,11,51,3.7,9.1
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Nasal Surgery,59,54,19.2,33.7
2015/2016,Northern,THE UNIVERSITY HOSPITAL OF NORTHERN BRITISH COLUMBIA,Nerve Surgery,,14,8.1,24.4
